TransactionID,ProductCategory,StoreLocation,UnitPrice,QuantitySold,TotalSale,PaymentMethod,CustomerAge,Returned
T0001,Clothing,Mansoura,1603.67,4,6414.68,Mobile Payment,29,No
T0002,Clothing,Mansoura,3698.71,4,14794.84,Credit Card,34,No
T0003,Clothing,Alexandria,4189.86,6,25139.16,Credit Card,67,No
T0004,Electronics,Mansoura,3088.44,9,27795.96,Cash,48,No
T0005,Groceries,Mansoura,4495.7,10,44957.0,Mobile Payment,49,No
T0006,Toys,Giza,2019.5,10,20195.0,Credit Card,21,No
T0007,Furniture,Mansoura,4701.29,1,4701.29,Mobile Payment,43,No
T0008,Clothing,Mansoura,4883.71,9,43953.39,Bank Transfer,38,No
T0009,Electronics,Alexandria,1928.17,2,3856.34,Mobile Payment,41,No
T0010,Groceries,Alexandria,2765.39,4,11061.56,Mobile Payment,48,No
T0011,Groceries,Giza,960.37,7,6722.59,Credit Card,44,No
T0012,Groceries,Giza,4278.91,5,21394.55,Bank Transfer,29,No
T0013,Toys,Alexandria,4080.24,5,20401.2,Credit Card,53,No
T0014,Furniture,Alexandria,771.93,3,2315.79,Bank Transfer,69,Yes
T0015,Furniture,Mansoura,715.63,9,6440.67,Mobile Payment,68,No
T0016,Groceries,Asyut,4299.58,1,4299.58,Bank Transfer,24,No
T0017,Electronics,Alexandria,4078.4,8,32627.2,Cash,46,No
T0018,Groceries,Giza,1833.52,9,16501.68,Mobile Payment,40,Yes
T0019,Electronics,Giza,4343.47,10,43434.7,Credit Card,54,No
T0020,Toys,Alexandria,4897.9,5,24489.5,Mobile Payment,38,No
T0021,Furniture,Mansoura,4453.68,7,31175.76,Mobile Payment,47,No
T0022,Clothing,Alexandria,3220.87,6,19325.22,Bank Transfer,58,No
T0023,Furniture,Cairo,441.6,6,2649.6,Credit Card,38,No
T0024,Groceries,Giza,3046.66,7,21326.62,Mobile Payment,46,No
T0025,Groceries,Asyut,2628.63,8,21029.04,Bank Transfer,28,No
