TransactionID,ProductCategory,StoreLocation,UnitPrice,QuantitySold,TotalSale,PaymentMethod,CustomerAge,Returned
T0001,Clothing,Mansoura,1603.67,4.0,6414.68,Mobile Payment,,No
T0002,Clothing,Mansoura,,,14794.84,Credit Card,34.0,No
T0003,Clothing,Alexandria,4189.86,6.0,25139.16,Credit Card,67.0,No
T0004,Electronics,,,9.0,,Cash,,No
T0005,,Mansoura,4495.7,10.0,44957.0,Mobile Payment,49.0,
T0006,Toys,Giza,2019.5,10.0,20195.0,Credit Card,21.0,No
T0007,Furniture,Mansoura,4701.29,1.0,4701.29,Mobile Payment,43.0,No
T0008,Clothing,Mansoura,4883.71,9.0,43953.39,Bank Transfer,38.0,No
T0009,,Alexandria,1928.17,2.0,3856.34,Mobile Payment,41.0,No
T0010,Groceries,Alexandria,2765.39,4.0,11061.56,Mobile Payment,,No
T0011,Groceries,Giza,960.37,7.0,6722.59,Credit Card,44.0,
T0012,Groceries,,4278.91,5.0,21394.55,Bank Transfer,29.0,No
T0013,Toys,Alexandria,4080.24,5.0,20401.2,Credit Card,53.0,No
T0014,Furniture,,,3.0,,,,Yes
T0015,Furniture,Mansoura,715.63,,6440.67,Mobile Payment,68.0,No
T0016,Groceries,Asyut,4299.58,1.0,4299.58,Bank Transfer,24.0,No
T0017,,Alexandria,4078.4,,,,46.0,No
T0018,,Giza,1833.52,9.0,16501.68,Mobile Payment,40.0,
T0019,,,4343.47,,43434.7,Credit Card,54.0,No
T0020,Toys,Alexandria,4897.9,5.0,24489.5,Mobile Payment,38.0,No
T0021,,Mansoura,4453.68,7.0,31175.76,Mobile Payment,47.0,
T0022,Clothing,Alexandria,3220.87,6.0,19325.22,Bank Transfer,58.0,No
T0023,Furniture,,,6.0,,Credit Card,,No
T0024,Groceries,Giza,3046.66,7.0,21326.62,Mobile Payment,46.0,No
T0025,Groceries,Asyut,2628.63,8.0,21029.04,,28.0,No
T0026,Electronics,Alexandria,3652.47,,18262.35,Cash,31.0,No
T0027,,Cairo,365.77,8.0,2926.16,Cash,19.0,No
T0028,Toys,,,10.0,5644.5,,23.0,No
T0029,Furniture,Giza,,5.0,5926.55,Bank Transfer,58.0,
T0030,,Alexandria,191.43,6.0,1148.58,Mobile Payment,48.0,No
T0031,Toys,Giza,2765.3,3.0,,Credit Card,55.0,No
T0032,Toys,Mansoura,2641.13,9.0,23770.17,,40.0,No
T0033,Clothing,Cairo,2237.21,6.0,13423.26,Bank Transfer,34.0,No
T0034,Electronics,Cairo,2640.42,3.0,,Mobile Payment,36.0,No
T0035,Electronics,,4737.44,8.0,37899.52,Mobile Payment,18.0,No
T0036,,Asyut,1194.52,1.0,1194.52,,30.0,No
T0037,Toys,Mansoura,2004.02,3.0,6012.06,Bank Transfer,,No
T0038,Electronics,Mansoura,,,28308.15,,,No
T0039,,Giza,2093.87,2.0,4187.74,Credit Card,26.0,
T0040,Furniture,Asyut,2291.2,10.0,22912.0,Bank Transfer,30.0,No
T0041,,Cairo,4850.1,1.0,4850.1,Credit Card,24.0,No
T0042,Clothing,Mansoura,3649.18,,14596.72,Cash,27.0,
T0043,Clothing,Giza,,8.0,17041.6,Mobile Payment,47.0,No
T0044,Electronics,Giza,447.1,3.0,1341.3,,35.0,No
T0045,,,2377.23,4.0,9508.92,Mobile Payment,70.0,No
T0046,,Cairo,4874.26,4.0,19497.04,Bank Transfer,,
T0047,Clothing,Cairo,,2.0,2071.88,Credit Card,48.0,No
